facility_id,hcahps_measure_id,hcahps_question,patient_survey_star_rating,patient_survey_star_rating_footnote,hcahps_linear_mean_value,number_of_completed_surveys,number_of_completed_surveys_footnote,survey_response_rate_percent,start_date,end_date
010035,H_STAR_RATING,Summary star rating,3,,,332,,18,2024-10-01,2025-09-30
010036,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,259,,17,2024-10-01,2025-09-30
010036,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,259,,17,2024-10-01,2025-09-30
010036,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,84,259,,17,2024-10-01,2025-09-30
010036,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,259,,17,2024-10-01,2025-09-30
010036,H_STAR_RATING,Summary star rating,3,,,259,,17,2024-10-01,2025-09-30
010039,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,91,1328,,21,2024-10-01,2025-09-30
010039,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,1328,,21,2024-10-01,2025-09-30
010039,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,88,1328,,21,2024-10-01,2025-09-30
010039,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,1328,,21,2024-10-01,2025-09-30
010039,H_STAR_RATING,Summary star rating,3,,,1328,,21,2024-10-01,2025-09-30
010040,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,88,522,,17,2024-10-01,2025-09-30
010040,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,,,522,,17,2024-10-01,2025-09-30
010040,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,81,522,,17,2024-10-01,2025-09-30
010040,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,522,,17,2024-10-01,2025-09-30
010040,H_STAR_RATING,Summary star rating,2,,,522,,17,2024-10-01,2025-09-30
010044,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,97,6,24,2024-10-01,2025-09-30
010044,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,97,6,24,2024-10-01,2025-09-30
010044,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,97,6,24,2024-10-01,2025-09-30
010044,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,97,6,24,2024-10-01,2025-09-30
010044,H_STAR_RATING,Summary star rating,,15,,97,6,24,2024-10-01,2025-09-30
010045,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,95,148,,35,2024-10-01,2025-09-30
010045,H_COMP_1_STAR_RATING,Nurse communication - star rating,5,,,148,,35,2024-10-01,2025-09-30
010045,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,96,148,,35,2024-10-01,2025-09-30
010045,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,5,,,148,,35,2024-10-01,2025-09-30
